n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
1.430e+04	1.751e-02	1.700e-02	2.717e-02	2.619e-02	1.816e-02	3.043e-02	3.287e-02	2.787e-02	3.810e-02
1.440e+04	1.729e-02	1.657e-02	2.723e-02	2.619e-02	1.860e-02	3.043e-02	3.066e-02	2.814e-02	3.740e-02
1.450e+04	1.798e-02	1.662e-02	2.737e-02	2.617e-02	1.877e-02	3.105e-02	2.982e-02	2.790e-02	3.717e-02
1.460e+04	1.798e-02	1.685e-02	2.737e-02	2.637e-02	1.860e-02	3.071e-02	2.944e-02	2.790e-02	3.582e-02
1.470e+04	1.797e-02	1.662e-02	2.737e-02	2.568e-02	1.876e-02	3.088e-02	2.963e-02	2.358e-02	3.474e-02
1.480e+04	1.829e-02	1.640e-02	2.737e-02	2.525e-02	1.896e-02	3.039e-02	2.945e-02	2.366e-02	3.458e-02
1.490e+04	1.798e-02	1.640e-02	2.737e-02	2.520e-02	1.890e-02	3.002e-02	2.935e-02	2.358e-02	3.325e-02
1.500e+04	1.733e-02	1.640e-02	2.707e-02	2.537e-02	1.931e-02	3.038e-02	2.904e-02	2.329e-02	3.178e-02
1.510e+04	1.733e-02	1.645e-02	2.723e-02	2.540e-02	1.924e-02	3.000e-02	2.840e-02	2.299e-02	3.065e-02
1.520e+04	1.708e-02	1.645e-02	2.630e-02	2.543e-02	1.875e-02	3.000e-02	2.873e-02	2.280e-02	3.017e-02
