n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
1.200e+04	2.704e-02	2.130e-02	3.005e-02	3.352e-02	2.702e-02	4.518e-02	3.619e-02	2.933e-02	4.700e-02
1.210e+04	2.704e-02	2.129e-02	3.005e-02	3.364e-02	2.814e-02	4.434e-02	3.600e-02	3.056e-02	4.674e-02
1.220e+04	2.704e-02	2.129e-02	2.976e-02	3.321e-02	2.788e-02	4.340e-02	3.644e-02	3.097e-02	4.514e-02
1.230e+04	2.757e-02	2.101e-02	2.976e-02	3.271e-02	2.759e-02	4.114e-02	3.642e-02	3.153e-02	4.475e-02
1.240e+04	2.814e-02	2.101e-02	2.910e-02	3.313e-02	2.732e-02	4.114e-02	3.660e-02	3.141e-02	4.493e-02
1.250e+04	2.732e-02	2.102e-02	2.878e-02	3.361e-02	2.715e-02	3.956e-02	3.637e-02	3.113e-02	4.493e-02
1.260e+04	2.586e-02	2.101e-02	2.878e-02	3.361e-02	2.595e-02	3.956e-02	3.677e-02	3.088e-02	4.246e-02
1.270e+04	2.531e-02	2.098e-02	2.918e-02	3.335e-02	2.489e-02	4.053e-02	3.715e-02	3.099e-02	4.197e-02
1.280e+04	2.462e-02	2.076e-02	2.917e-02	3.311e-02	2.491e-02	4.046e-02	3.671e-02	3.093e-02	4.077e-02
1.290e+04	2.462e-02	2.116e-02	2.917e-02	3.318e-02	2.483e-02	4.049e-02	3.648e-02	3.150e-02	4.049e-02
1.300e+04	2.506e-02	2.110e-02	2.863e-02	3.404e-02	2.520e-02	4.049e-02	3.689e-02	3.203e-02	4.067e-02
1.310e+04	2.504e-02	2.110e-02	2.859e-02	3.448e-02	2.520e-02	3.669e-02	3.637e-02	3.140e-02	4.070e-02
1.320e+04	2.472e-02	2.095e-02	2.823e-02	3.448e-02	2.577e-02	3.674e-02	3.637e-02	3.113e-02	4.070e-02
1.330e+04	2.472e-02	2.095e-02	2.839e-02	3.448e-02	2.675e-02	3.674e-02	3.637e-02	3.051e-02	3.937e-02
1.340e+04	2.469e-02	2.103e-02	2.899e-02	3.448e-02	2.737e-02	3.674e-02	3.523e-02	3.051e-02	3.832e-02
1.350e+04	2.472e-02	2.131e-02	2.899e-02	3.488e-02	2.742e-02	3.668e-02	3.621e-02	3.013e-02	3.845e-02
1.360e+04	2.472e-02	2.103e-02	2.899e-02	3.488e-02	2.742e-02	3.729e-02	3.621e-02	3.019e-02	3.853e-02
1.370e+04	2.396e-02	2.121e-02	2.859e-02	3.488e-02	2.789e-02	3.612e-02	3.562e-02	2.887e-02	3.948e-02
1.380e+04	2.376e-02	2.130e-02	2.854e-02	3.416e-02	2.766e-02	3.551e-02	3.568e-02	2.887e-02	3.735e-02
1.390e+04	2.393e-02	2.169e-02	2.814e-02	3.352e-02	2.765e-02	3.520e-02	3.501e-02	2.887e-02	3.648e-02
1.400e+04	2.390e-02	2.114e-02	2.770e-02	3.352e-02	2.805e-02	3.507e-02	3.348e-02	2.819e-02	3.555e-02
1.410e+04	2.412e-02	2.084e-02	2.709e-02	3.351e-02	2.755e-02	3.473e-02	3.058e-02	2.827e-02	3.484e-02
1.420e+04	2.407e-02	2.174e-02	2.810e-02	3.349e-02	2.755e-02	3.481e-02	3.077e-02	2.823e-02	3.472e-02
1.430e+04	2.364e-02	2.114e-02	2.810e-02	3.349e-02	2.764e-02	3.554e-02	3.056e-02	2.717e-02	3.415e-02
1.440e+04	2.364e-02	2.114e-02	2.784e-02	3.335e-02	2.773e-02	3.554e-02	3.054e-02	2.736e-02	3.191e-02
1.450e+04	2.364e-02	2.113e-02	2.797e-02	3.369e-02	2.721e-02	3.554e-02	2.975e-02	2.683e-02	3.095e-02
1.460e+04	2.364e-02	2.159e-02	2.797e-02	3.327e-02	2.702e-02	3.662e-02	3.031e-02	2.627e-02	3.121e-02
1.470e+04	2.364e-02	2.127e-02	2.797e-02	3.327e-02	2.686e-02	3.690e-02	2.998e-02	2.609e-02	3.088e-02
1.480e+04	2.345e-02	2.130e-02	2.790e-02	3.351e-02	2.665e-02	3.671e-02	3.010e-02	2.619e-02	3.095e-02
1.490e+04	2.345e-02	2.097e-02	2.827e-02	3.362e-02	2.656e-02	3.600e-02	2.974e-02	2.677e-02	3.085e-02
1.500e+04	2.350e-02	2.166e-02	2.827e-02	3.270e-02	2.656e-02	3.600e-02	2.955e-02	2.662e-02	3.085e-02
1.510e+04	2.369e-02	2.113e-02	2.827e-02	3.283e-02	2.754e-02	3.595e-02	2.837e-02	2.662e-02	3.077e-02
1.520e+04	2.350e-02	2.109e-02	2.793e-02	3.283e-02	2.634e-02	3.595e-02	2.787e-02	2.678e-02	3.049e-02
1.530e+04	2.350e-02	2.126e-02	2.793e-02	3.142e-02	2.635e-02	3.558e-02	2.743e-02	2.596e-02	2.865e-02
1.540e+04	2.345e-02	2.152e-02	2.782e-02	3.124e-02	2.679e-02	3.574e-02	2.742e-02	2.596e-02	2.849e-02
